Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788775837,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788775838,10,,Aggregated,0.000000,0.000000,6,6,7,7,8,8,38,41,57,57,57,449,368,6,6.6469240524517765,3.375499974936247,56.6186000360176,281.36748329621383
1788775839,20,,Aggregated,0.000000,0.000000,7,8,8,9,10,11,34,39,61,61,61,984,847,7,7.970183637827007,3.375499974936247,61.14930001785979,219.08943089430895
1788775840,30,,Aggregated,306.000000,229.000000,8,9,9,10,11,13,34,38,61,62,62,1655,1480,8,8.763093594848558,3.375499974936247,61.97709997650236,175.91782477341388
1788775841,30,,Aggregated,407.500000,343.000000,8,9,10,10,12,15,25,37,62,66,66,2276,2060,8,9.207463751829177,3.375499974936247,65.59989997185767,162.52460456942003
1788775842,30,,Aggregated,486.333333,431.666667,8,9,9,10,12,14,21,36,64,68,68,3006,2755,8,9.106864337596381,3.375499974936247,68.46089998725802,146.92215568862275
1788775843,30,,Aggregated,515.000000,464.500000,8,9,9,10,12,14,20,35,66,68,68,3705,3417,8,9.086803157559965,3.375499974936247,68.46089998725802,141.92280701754385
1788775844,30,,Aggregated,554.600000,507.800000,8,9,9,10,12,14,19,35,65,68,68,4430,4106,8,9.099167313465626,3.375499974936247,68.46089998725802,135.69164785553048
1788775845,30,,Aggregated,575.833333,529.666667,8,9,9,10,11,14,19,34,64,68,68,5134,4776,8,9.10234834414638,3.375499974936247,68.46089998725802,133.37670432411375
1788775846,30,,Aggregated,596.714286,552.142857,8,9,9,10,11,13,18,34,66,72,72,5808,5411,8,9.143410864460987,3.375499974936247,71.96540001314133,133.83023415977962
1788775847,30,,Aggregated,609.500000,566.000000,8,9,10,10,11,13,18,34,66,72,72,6501,6041,8,9.212814782470508,3.375499974936247,71.96540001314133,143.44562375019228
1788775848,30,,Aggregated,619.000000,576.444444,8,9,9,10,11,13,18,31,65,72,72,7226,6730,8,9.163628452904847,3.375499974936247,71.96540001314133,142.96415721007472
1788775849,30,,Aggregated,624.100000,580.800000,8,9,9,10,11,13,17,28,65,72,72,7995,7464,8,9.051783890074633,2.9110999894328415,71.96540001314133,142.0157598499062
1788775850,30,,Aggregated,663.800000,623.400000,8,9,9,10,11,13,17,27,64,72,72,8749,8177,8,9.006601737497126,2.9110999894328415,71.96540001314133,143.11304149045606
