Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788775747,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788775748,10,,Aggregated,0.000000,0.000000,4,4,5,5,6,7,13,29,71,71,71,645,0,4,4.646603099806884,1.6759000136516988,71.47969998186454,80.46666666666667
1788775749,20,,Aggregated,0.000000,0.000000,5,5,6,6,7,8,16,46,71,75,75,1296,0,5,5.621844443485765,1.6759000136516988,74.52409999677911,122.24537037037037
1788775750,30,,Aggregated,541.000000,0.000000,6,7,7,8,9,10,29,53,75,76,76,1987,0,6,6.852605585646303,1.6759000136516988,76.09280000906438,156.57221942627075
1788775751,30,,Aggregated,581.500000,0.000000,7,8,8,8,10,12,20,53,76,86,86,2669,0,7,7.398074821884991,1.6759000136516988,86.18799998657778,202.15174222555265
1788775752,30,,Aggregated,617.666667,0.000000,7,8,8,9,10,12,16,46,75,86,86,3370,0,7,7.645031127619947,1.6759000136516988,86.18799998657778,251.09643916913947
1788775753,30,,Aggregated,633.000000,0.000000,7,8,9,9,10,12,17,43,72,86,86,4040,0,7,7.8916052973738156,1.6759000136516988,86.18799998657778,296.32153465346533
1788775754,30,,Aggregated,643.200000,0.000000,8,8,9,9,10,12,16,29,72,86,86,4723,0,8,8.010408321025098,1.6759000136516988,86.18799998657778,340.463053144188
1788775755,30,,Aggregated,646.000000,0.000000,8,8,9,9,10,12,16,29,71,86,86,5354,0,8,8.206243388289373,1.6759000136516988,86.18799998657778,383.4936496077699
1788775756,30,,Aggregated,651.285714,0.000000,8,9,9,9,10,12,16,29,70,86,86,6002,0,8,8.356258830636158,1.6759000136516988,86.18799998657778,432.7769076974342
1788775757,30,,Aggregated,649.625000,0.000000,8,9,9,9,10,12,15,29,70,86,86,6714,0,8,8.376334167582806,1.6759000136516988,86.18799998657778,491.30667262436697
1788775758,30,,Aggregated,648.444444,0.000000,8,9,9,9,10,12,15,29,69,86,86,7419,0,8,8.39965716425061,1.6759000136516988,86.18799998657778,551.3183717482141
1788775759,30,,Aggregated,652.100000,0.000000,8,9,9,9,10,12,15,29,69,86,86,8112,0,8,8.439607569238957,1.6759000136516988,86.18799998657778,610.4665927021696
1788775760,30,,Aggregated,668.500000,0.000000,8,9,9,9,10,12,15,29,69,86,86,8819,0,8,8.468233926895167,1.6759000136516988,86.18799998657778,669.7517859167706
